author_display,title_display
Infantry School (U.S.),"Selected readings in American military history : for use in support of the general military science curriculum, senior division ROTC, par. 17b., ATP 145-60"
"","Cogeneration institutional study in the Geismar, LA, and Orange, Texas areas"
United States. Army. Medical Department.,Medical supply in World War II
United States. Army Medical Department (1968- ),Medical supply in World War II
"United States. Forest Service, cartographer.",Motor vehicle use map
"United States. Forest Service, cartographer.",Motor vehicle use map
"","Doctor's residence, D.C. General Hospital, Washington, D.C."
"United States. Congress. Senate. Committee on Armed Services, author.","United States European Command : hearing before the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, March 1, 2016"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"United States. Congress. House. Committee on Veterans' Affairs. Subcommittee on Health, author.","Choice consolidation : improving VA community care billing and reimbursement : hearing before the Subcommittee on Health of the Committee on Veterans' Affairs, U.S. House of Representatives, One Hundred Fourteenth Congress, second session, Thursday, February 11, 2016"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"United States. Congress. Senate. Committee on Commerce, Science, and Transportation, author.","Oversight of the Federal Communications Commission : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Fourteenth Congress, second session, March 2, 2016"
United States. Congress. Senate. Committee on Banking and Currency.,Central banking practices and the economy of Western Europe : report ...
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"United States. Congress. House. Committee on Veterans' Affairs, author.","Fact check : an end of the year review of accountability at the Department of Veterans Affairs : hearing before the Committee on Veterans' Affairs, U.S. House of Representatives, One Hundred Fourteenth Congress, first session, Wednesday, December 9, 2015"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"United States. Congress. Senate. Committee on Commerce, Science, and Transportation. Subcommittee on Space, Science, and Competitiveness, author.","NASA at a crossroads : reasserting American leadership in space exploration : hearing before the Subcommittee on Space, Science, and Competitiveness of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Fourteenth Congress, second session, July 13, 2016"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.",National Heritage Area Authorization Act of 2017 : report (to accompany S. 713) (including cost estimate of the Congressional Budget Office).
United States. Congress. Senate. Committee on Banking and Currency. Subcommittee on Housing.,"FHLBB and FSLIC-study of relationships : hearings before a subcommittee of the Committee on Banking and Currency, United States Senate, Eighty-fourth Congress, second session, on Federal Home Loan Bank Board and Federal Savings and Loan Insurance Corporation, a study of relationships. December 18 and 19, 1956"
"","Doctor's residence, D.C. General Hospital"
"","Doctor's residence, D.C. General Hospital"
United States. Congress. Senate. Committee on Banking and Currency.,"Increased FNMA authorization : hearings before a subcommittee of the Committee on Banking and Currency, United States Senate, Eighty-fifth Congress, first session, on S.J. Res. 38 and S. 1056, bills to enable FNMA to give additional assistance in relieving the shortage of residential mortgage funds, and for other purposes, February 6 and 7, 1957"
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.",Sportsmen's Act : report (to accompany S. 733) (including cost estimate of the Congressional Budget Office).
"",Experimental study of the storage of thermal energy in confined aquifers
"",Projections of automobile ownership and use based on household lifestyle factors
United States. Congress. Senate. Committee on Banking and Currency. Subcommittee on Securities.,"Progress report on Federal flood insurance : hearing before a subcommittee of the Committee on Banking and Currency, United States Senate, Eighty-fifth Congress, first session, to receive a report on the progress made under the Federal flood insurance act of 1956"
United States. Congress. Senate. Committee on Banking and Currency.,"Nominations of Gordon Gray, Albert J. Robertson, and Paul W. McCracken : hearing, Eighty-fifth Congress, first session, on the nominations of Gordon Gray to be Director of the Office of Defense Mobilization; Albert J. Robertson to be a member of the Federal Home Loan Bank Board; and Paul W. McCracken to be a member of the Council of Economic Advisers. March 4, 1957"
"United States. Congress. House. Committee on Armed Services. Oversight and Investigations Subcommittee, author.","Oversight review of the U.S. Navy's littoral combat ship program : hearing before the Subcommittee on Oversight and Investigations of the Committee on Armed Services, House of Representatives, One Hundred Fourteenth Congress, second session, hearing held December 8, 2016"
"",Step into your future ... : the new two-year Army ROTC program
"United States. Forest Service, cartographer.",Motor vehicle use map
United States. Congress. Senate. Committee on Banking and Currency.,"SEC enforcement problems : hearing before a subcommittee of the Committee on Banking and Currency, United States Senate, Eighty-fifth Congress, first session, to hear a report from the Securities [and] Exchange Commission on its problems enforcing the securities laws. Pt. 1, March 5, 1957"
"United States. Forest Service, cartographer.",Motor vehicle use map
"",Safety analysis of B & W standard PWR using thorium-based fuels
United States. Congress. Joint Committee on Defense Production.,"Defense Production Act progress report no. 39 : hearing before the Joint Committee on Defense Production, Congress of the United States, Eighty-fifth Congress, first session to hear the Director of the Office of Defense Mobilization and the Administrator of GSA on activities under the Defense Production Act, including loans and guaranteed loans, May 28, 1957"
"",An investment for your future : Army ROTC Scholarship Program
